,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
1468,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1469,A58,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1470,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1471,A58,Wet/Damp,Darkness: Street lights present but unlit,Fine without high winds,Car,Serious
1472,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1473,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1474,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1475,A653,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1476,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
1477,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1478,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1479,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1480,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1481,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1482,A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1483,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1484,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1485,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
1486,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1487,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1488,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1489,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1490,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1491,A647,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
1492,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1493,B6159,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1494,B6159,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1495,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1496,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1497,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1498,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1499,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1500,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1501,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1502,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1503,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1504,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1505,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1506,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1507,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1508,A58(M),Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
1509,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
1510,A658,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Serious
1511,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1512,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1513,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
1514,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
1515,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
1516,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cycleCar,Slight
1517,A659,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1518,A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1519,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
1520,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1521,B6159,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1522,B6159,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1523,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1524,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1525,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1526,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1527,A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1528,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1529,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1530,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1531,B1224,Wet/Damp,Darkness: No street lighting,Raining without high winds,Car,Slight
1532,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1533,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Serious
1534,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1535,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
1536,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1537,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Serious
1538,A660,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1539,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
1540,A653,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1541,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1542,A61,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Slight
1543,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1544,A660,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
1545,A660,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1546,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1547,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Serious
1548,A63,Wet/Damp,Daylight: Street lights present,Raining without high winds,Motorcycle over 500cc,Slight
1549,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
1550,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
1551,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
1552,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
1553,A6110,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
1554,A6110,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1555,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1556,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1557,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1558,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycleCar,Serious
1559,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1560,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
1561,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
1562,A650,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
1563,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
1564,A64(M),Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Slight
1565,U,Wet/Damp,Darkness: No street lighting,Raining without high winds,Car,Slight
1566,U,Wet/Damp,Darkness: No street lighting,Raining without high winds,Car,Slight
1567,M1,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1568,M1,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1569,M1,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1570,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1571,A63,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1572,A63,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1573,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Slight
1574,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Slight
1575,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1576,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1577,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1578,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Slight
1579,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1580,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
1581,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1582,A64(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1583,A64(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1584,A64(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1585,A64(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1586,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1587,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1588,A642,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1589,A63,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1590,A63,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1591,M621,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Serious
1592,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1593,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Pedal cycle,Serious
1594,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1595,A653,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1596,A61,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
1597,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1598,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1599,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
1600,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
1601,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1602,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
1603,A653,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1604,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Slight
1605,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Slight
1606,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Slight
1607,A650,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1608,A61,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1609,A61,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1610,A643,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1611,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1612,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1613,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1614,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1615,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1616,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1617,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1618,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1619,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1620,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1621,A659,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1622,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
1623,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1624,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1625,B6154,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Slight
1626,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1627,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1628,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1629,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1630,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1631,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1632,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1633,A650,Wet/Damp,Daylight: Street lights present,Raining without high winds,Motorcycle Motorcycle over 500cc0cc and under,Slight
1634,A660,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
1635,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1636,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
